ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	clonal_complex
9301	492	1	5	3	2	1	5	ST-21 complex
9302	2	679	5	3	23	732	5	
9303	494	680	143	4	1	7	1	ST-45 complex
9304	4	681	10	4	1	7	594	ST-45 complex
9305	495	17	5	2	10	59	6	ST-353 complex
9306	2	682	5	3	2	1	5	ST-21 complex
9307	2	1	5	3	2	732	5	ST-21 complex
9308	496	683	2	2	465	733	1	
9309	497	114	5	298	10	733	218	
9310	493	7	10	4	1	7	1	ST-45 complex
9311	2	28	4	28	321	3	23	
9312	498	2	2	2	10	733	1	ST-464 complex
9313	2	1	5	10	89	1	5	ST-21 complex
9314	2	682	5	3	938	1	5	ST-21 complex
9315	4	680	40	4	42	7	1	ST-45 complex
9316	2	1	2	372	6	3	17	ST-61 complex
9317	2	1	5	3	938	1	5	ST-21 complex
9318	24	683	2	2	10	3	1	ST-464 complex
9319	7	17	2	15	23	733	12	ST-443 complex
9320	62	4	5	62	2	732	5	
9321	8	684	2	2	11	12	6	ST-354 complex
9322	2	4	1	2	7	1	596	ST-48 complex
9323	62	685	5	760	2	732	5	
9324	1	6	5	195	12	736	1	ST-508 complex
9325	4	7	40	4	42	737	1	ST-283 complex
9326	501	646	2	62	412	223	6	
9327	502	25	16	19	10	5	7	ST-403 complex
9328	6	4	5	2	938	1	5	ST-48 complex
9329	4	7	10	4	1	677	1	ST-45 complex
9330	2	1	12	3	938	1	23	ST-21 complex
9331	64	22	77	721	134	271	16	
9332	4	7	10	4	1	735	597	ST-45 complex
9333	2	28	84	28	74	99	35	
9334	7	71	42	62	11	67	1	
9335	7	4	2	83	2	3	6	ST-658 complex
9336	7	17	52	10	10	3	378	ST-353 complex
9337	7	1	2	2	6	3	6	ST-61 complex
9338	7	2	2	3	2	3	6	
9339	9	84	4	28	363	3	35	
9340	10	221	59	19	10	5	7	ST-403 complex
9341	10	27	16	19	301	5	7	ST-403 complex
9342	10	27	59	19	10	274	7	ST-403 complex
9343	10	27	178	19	302	5	7	ST-403 complex
9344	18	33	31	104	43	258	16	
9345	86	228	416	269	927	279	241	
9346	23	2	579	91	884	58	51	
9347	1	2	580	91	884	7	51	
9348	22	10	4	28	363	3	35	
9349	22	28	4	399	363	25	35	
9350	22	28	4	399	127	99	35	
9351	22	28	4	28	363	3	6	
9352	490	2	579	91	926	726	51	
9353	2	15	4	48	17	25	23	ST-1034 complex
9354	180	654	2	213	19	231	147	
9355	200	6	61	147	40	180	3	
9356	4	7	10	4	940	51	1	ST-45 complex
9357	22	28	4	28	470	99	35	
9358	22	15	4	64	363	99	35	
9359	22	52	359	761	522	430	23	
9360	22	15	4	3	154	25	35	
9361	22	15	4	28	363	3	35	
9362	37	28	4	28	141	3	23	
9363	37	28	4	28	321	3	23	
9364	64	450	388	100	122	519	16	
9365	10	27	59	19	943	274	7	ST-403 complex
9366	10	27	59	19	941	274	7	ST-403 complex
9367	2	686	4	2	946	34	35	
9368	37	28	4	28	945	34	23	ST-573 complex
9369	7	28	4	762	363	99	35	
9370	37	28	4	28	942	3	23	
9371	1	4	585	2	6	3	17	ST-61 complex
9372	22	335	4	64	74	25	599	ST-1034 complex
9373	7	2	2	763	2	3	6	
9374	503	687	61	764	947	7	600	
9375	22	61	4	28	944	99	23	
9376	10	31	95	268	101	45	1	
9377	2	61	29	28	58	25	58	ST-1332 complex
9378	10	31	34	129	101	45	49	
9379	2	452	2	2	6	1	5	ST-48 complex
9380	2	1	586	3	5	1	5	ST-21 complex
9381	10	81	50	99	120	76	602	ST-677 complex
9382	33	39	30	82	104	740	17	ST-828 complex
9383	181	17	5	10	86	3	603	
9384	8	84	5	2	11	12	6	ST-354 complex
9385	7	17	5	2	17	3	6	ST-353 complex
9386	8	313	5	2	89	5	6	
9387	2	21	2	37	60	1	5	ST-206 complex
9388	7	2	5	719	10	3	6	ST-353 complex
9389	18	70	77	97	205	743	47	
9390	2	17	5	2	907	59	6	ST-353 complex
9391	7	1	587	83	2	3	6	
9392	79	4	5	68	11	3	6	
9393	33	66	30	192	113	44	17	
9394	7	4	5	68	11	741	5	
9395	2	1	21	765	2	1	5	ST-21 complex
9396	4	7	10	766	42	51	1	ST-45 complex
9397	2	27	1	3	2	1	5	ST-21 complex
9398	33	39	589	82	113	47	17	ST-828 complex
9399	10	27	16	19	10	5	605	ST-403 complex
9400	2	689	1	2	7	1	5	ST-48 complex
9401	7	84	1	767	11	3	6	
9402	4	7	40	4	42	742	172	ST-283 complex
9403	4	7	10	4	141	7	1	ST-45 complex
9404	9	2	2	212	153	253	606	
9405	7	2	5	64	2	3	1	ST-607 complex
9406	2	1	591	3	2	1	5	ST-21 complex
9407	64	22	77	97	122	301	16	ST-952 complex
9408	2	29	84	27	10	25	57	
9409	37	61	292	26	948	3	541	
9410	2	690	1	4	19	1	5	ST-21 complex
9411	505	4	5	2	11	1	5	ST-48 complex
9412	37	61	292	494	127	25	35	
9413	363	490	292	48	127	24	541	
9414	22	490	292	26	13	29	412	
9415	8	364	80	470	470	29	6	
9416	2	1	52	3	2	100	6	ST-21 complex
9417	33	39	30	375	113	77	17	ST-828 complex
9418	33	39	30	79	189	85	17	ST-828 complex
9419	33	39	65	79	113	47	17	
9420	33	39	65	79	113	77	17	
9421	33	39	65	82	104	56	41	ST-828 complex
9422	8	17	5	2	2	3	26	ST-353 complex
9423	81	104	69	691	143	43	67	
9424	181	17	218	10	11	3	6	
9425	7	688	5	2	10	1	6	ST-353 complex
9426	7	688	5	2	10	3	6	ST-353 complex
9427	7	688	5	2	10	3	12	ST-353 complex
9428	7	71	5	190	11	67	6	
9429	7	71	5	62	11	739	6	ST-581 complex
9430	506	39	65	79	113	47	17	
9431	8	71	5	2	10	3	6	ST-353 complex
9432	8	71	5	2	159	3	6	ST-353 complex
9433	121	692	590	768	950	744	609	
9434	128	337	592	769	951	745	611	
9435	33	39	30	770	104	746	17	ST-828 complex
9436	33	39	66	174	952	43	41	
9437	7	17	95	10	10	3	378	ST-353 complex
9438	7	2	2	2	10	3	6	ST-353 complex
9439	32	39	30	82	113	44	17	ST-828 complex
9440	33	39	30	79	112	64	139	
9441	43	176	30	82	163	47	139	
9442	33	39	30	140	104	44	17	ST-828 complex
9443	7	114	5	2	13	3	6	ST-353 complex
9444	7	348	292	470	485	29	23	
9445	2	61	4	64	956	7	23	ST-1034 complex
9446	10	33	22	49	101	9	31	ST-1275 complex
9447	10	33	22	97	43	9	31	ST-1275 complex
9448	103	110	30	140	113	164	79	ST-1150 complex
9449	103	110	30	140	104	164	79	ST-1150 complex
9450	103	110	103	140	210	164	79	ST-1150 complex
9451	7	2	5	775	156	3	6	ST-353 complex
9452	508	110	30	140	210	164	79	
9453	33	39	30	82	113	751	17	ST-828 complex
9454	4	7	12	4	2	51	1	ST-45 complex
9455	509	4	5	2	2	1	5	ST-206 complex
9456	1	2	3	4	4	9	3	ST-42 complex
9457	4	695	10	4	1	7	1	ST-45 complex
9458	2	15	95	48	13	25	23	
9459	9	17	1	10	11	3	3	ST-574 complex
9460	273	38	30	79	113	534	17	
9461	274	61	4	64	74	25	58	ST-1034 complex
9462	33	39	30	82	104	752	17	ST-828 complex
9463	57	17	2	2	957	12	6	ST-354 complex
9464	33	38	30	82	104	753	292	ST-828 complex
9465	8	23	163	3	89	1	6	
9466	22	103	4	28	17	110	23	
9467	227	297	253	541	424	337	617	
9468	10	186	2	774	260	401	6	
9469	227	297	253	541	955	337	250	
9470	10	694	2	62	954	749	615	
9471	10	186	2	62	260	401	6	
9472	227	297	253	541	424	750	250	
9473	227	297	253	541	424	337	250	
9474	507	694	2	62	954	749	615	
9475	1	2	397	91	884	748	51	
9476	227	297	595	541	424	337	250	
9477	10	186	2	773	260	401	6	
9478	4	380	10	4	1	7	1	ST-45 complex
9479	10	24	59	19	10	5	7	ST-403 complex
9480	64	431	203	100	652	2	16	
9481	7	17	52	10	550	3	6	ST-353 complex
9482	24	2	2	10	89	3	1	ST-464 complex
9483	8	2	12	53	11	3	1	ST-607 complex
9484	47	55	5	10	2	68	8	ST-446 complex
9485	55	2	2	2	10	3	1	ST-464 complex
9486	33	39	103	79	113	43	17	ST-828 complex
9487	81	39	147	113	404	362	160	
9488	121	209	185	217	635	241	336	
9489	86	230	88	198	536	316	156	
9490	335	593	506	218	787	744	619	
9491	33	39	30	748	113	43	17	ST-828 complex
9492	37	52	16	28	74	29	23	ST-692 complex
9493	340	39	30	79	113	47	17	
9494	340	39	30	82	113	47	41	
9495	4	7	10	4	1	7	594	ST-45 complex
9496	14	679	2	10	86	3	6	ST-52 complex
9497	55	52	57	26	470	29	23	ST-692 complex
9498	172	2	2	2	11	5	6	ST-354 complex
9499	4	680	10	4	42	51	1	ST-45 complex
9500	7	17	594	15	23	3	12	ST-443 complex
9501	340	39	30	79	113	47	36	
9502	9	17	12	10	11	3	3	ST-574 complex
9503	8	693	292	64	126	25	421	
9504	2	17	12	3	11	1	6	
9505	24	2	52	2	10	1	1	ST-464 complex
9506	7	1	12	3	2	1	6	ST-21 complex
9507	4	4	40	4	1	42	51	
9508	83	84	5	10	46	89	3	
9509	22	7	4	28	35	141	25	
9510	27	93	72	104	126	124	381	
9511	64	22	77	143	16	134	153	
9512	33	176	30	79	17	619	47	
9513	7	1	2	71	6	2	3	
9514	7	2	4	28	17	34	12	ST-573 complex
9515	33	39	30	79	113	122	17	ST-828 complex
9516	7	2	12	2	10	3	6	ST-353 complex
9517	33	38	30	78	104	47	17	ST-828 complex
9518	7	17	5	53	11	3	1	ST-607 complex
9519	33	39	134	161	104	43	17	ST-828 complex
9520	33	39	30	115	104	35	17	ST-828 complex
9521	116	39	30	82	113	56	36	
9522	2	1	2	3	5	3	5	ST-21 complex
9523	116	39	30	82	113	85	36	
9524	33	39	30	174	104	225	36	ST-828 complex
9525	8	30	2	2	89	5	6	ST-460 complex
9526	397	110	103	140	104	169	79	ST-1150 complex
9527	33	39	30	115	189	56	17	ST-828 complex
9528	1	24	3	4	5	9	3	ST-42 complex
9529	33	39	128	82	113	43	36	ST-828 complex
9530	7	114	456	2	10	188	3	
9531	2	6	1	3	2	1	6	ST-21 complex
9532	103	110	30	82	188	215	99	
9533	499	4	1	4	19	62	5	
9534	2	685	1	4	19	62	5	
9535	2	682	1	3	2	1	5	ST-21 complex
9536	2	21	5	3	938	1	5	ST-206 complex
9537	8	2	27	213	11	3	5	ST-607 complex
9538	62	4	5	2	938	1	5	ST-48 complex
9539	499	1	1	5	2	1	5	ST-21 complex
9540	499	1	1	3	2	732	5	ST-21 complex
9541	496	2	2	2	10	3	1	ST-464 complex
9542	8	61	57	28	470	29	5	
9543	7	112	5	62	23	67	380	
9544	7	2	2	15	10	3	3	ST-574 complex
9545	37	61	4	64	141	3	35	
9546	8	17	2	2	2	12	6	ST-354 complex
9547	2	61	4	64	351	7	23	ST-1034 complex
9548	1	39	6	4	3	3	3	ST-22 complex
9549	33	39	30	544	113	3	17	ST-828 complex
9550	24	526	456	2	10	3	1	ST-464 complex
9551	24	526	449	2	10	3	1	ST-464 complex
9552	172	2	456	2	11	5	6	
9553	7	114	358	2	188	3	1	
9554	33	39	2	79	112	64	17	
9555	8	490	292	64	126	25	421	
9556	8	2	27	10	350	3	1	ST-607 complex
9557	37	61	292	470	38	25	58	
9558	2	114	2	15	258	1	5	
9559	7	114	456	2	188	3	1	
9560	8	455	291	494	127	24	35	
9561	9	53	2	10	129	3	3	ST-574 complex
9562	7	2	27	2	10	3	6	ST-353 complex
9563	24	30	2	2	11	3	26	ST-460 complex
9564	504	52	57	26	176	29	23	ST-692 complex
9565	33	39	30	677	104	43	17	ST-828 complex
9566	33	38	30	79	104	47	17	ST-828 complex
9567	37	61	4	64	141	7	23	ST-1034 complex
9568	33	39	30	82	113	85	139	ST-828 complex
9569	2	21	4	64	141	7	23	ST-1034 complex
9570	7	28	29	64	17	3	35	
9571	33	66	30	79	104	47	17	ST-828 complex
9572	37	28	120	28	127	3	12	
9573	9	2	1	10	17	3	1	
9574	14	21	2	10	11	3	12	ST-574 complex
9575	33	38	30	192	337	43	17	ST-828 complex
9576	8	10	2	732	11	12	6	ST-354 complex
9577	465	7	10	4	1	7	1	ST-45 complex
9578	57	658	2	2	11	12	6	ST-354 complex
9579	7	660	2	2	19	1	6	
9580	510	1	12	3	2	1	5	ST-21 complex
9581	7	53	2	10	958	3	3	ST-574 complex
9582	4	7	563	4	1	7	1	ST-45 complex
9583	4	7	562	4	1	7	1	ST-45 complex
9584	2	1	1	3	2	1	618	ST-21 complex
9585	2	115	4	64	1	7	23	ST-1034 complex
9586	1	4	2	2	6	755	17	ST-61 complex
9587	2	84	2	68	2	68	620	
9588	33	66	30	79	959	43	17	ST-828 complex
9589	112	105	20	721	134	591	243	
9590	112	33	77	24	134	97	150	
9591	1	6	29	484	40	32	3	ST-179 complex
9592	17	2	9	5	8	2	21	ST-177 complex
9593	18	100	22	18	133	86	149	
9594	181	53	420	53	312	3	3	
9595	18	22	229	160	134	101	16	
9596	18	2	229	18	159	61	16	
9597	18	2	229	18	159	86	16	
9598	18	22	395	326	10	86	16	ST-952 complex
9599	18	89	22	24	122	258	47	
9600	2	1	420	26	312	29	35	
9601	24	17	79	15	10	3	12	ST-443 complex
9602	250	22	78	18	134	101	60	
9603	35	43	8	51	8	46	21	ST-682 complex
9604	37	61	4	48	11	3	1	
9605	37	75	2	64	312	34	1	
9606	37	75	5	48	11	3	1	ST-607 complex
9607	7	10	5	72	22	561	6	
9608	7	17	420	15	11	3	12	ST-443 complex
9609	8	364	4	471	74	3	469	
9610	91	2	42	4	90	9	8	
9611	9	53	2	53	312	3	3	ST-574 complex
9612	9	53	27	53	312	3	3	
9613	9	53	27	53	74	3	3	
9614	4	455	291	668	127	24	1	
9615	37	75	29	26	129	407	1	
9616	7	2	358	2	923	3	1	ST-464 complex
9617	7	53	5	10	2	3	3	ST-574 complex
9618	9	52	57	26	74	25	23	ST-692 complex
9619	14	1	52	3	11	100	5	
9620	9	2	2	10	22	3	5	ST-52 complex
9621	8	2	27	751	22	3	1	ST-607 complex
9622	7	438	292	2	13	25	23	
9623	8	61	57	26	74	25	271	
9624	24	23	12	496	23	25	6	
9625	304	39	30	79	104	206	325	
9626	33	491	30	82	113	47	17	ST-828 complex
9627	33	39	30	82	113	43	139	ST-828 complex
9628	33	39	30	82	113	12	17	ST-828 complex
9629	86	86	88	245	288	129	76	
9630	136	86	88	124	266	209	156	
9631	33	39	30	174	104	332	17	ST-828 complex
9632	2	15	2	3	154	51	35	
9633	22	28	57	28	363	3	35	
9634	91	1	5	10	974	11	6	ST-49 complex
9635	2	59	4	2	17	25	35	ST-433 complex
9636	7	17	5	2	23	3	6	ST-353 complex
9637	2	704	1	3	2	1	5	ST-21 complex
9638	14	21	2	10	975	3	6	ST-52 complex
9639	64	22	112	100	134	103	16	
9640	518	33	78	104	43	109	31	
9641	2	4	1	4	10	62	5	ST-48 complex
9642	519	21	5	3	2	1	5	ST-206 complex
9643	7	1	2	83	368	3	628	
9644	2	28	4	38	141	34	35	ST-433 complex
9645	520	55	5	10	11	48	8	ST-446 complex
9646	124	39	30	79	976	47	17	
9647	47	55	5	783	11	48	8	ST-446 complex
9648	91	2	42	4	169	769	8	
9649	24	2	2	2	10	3	629	ST-464 complex
9650	1	4	2	784	6	3	17	ST-61 complex
9651	112	22	22	18	966	764	16	
9652	112	2	599	108	134	86	16	
9653	112	268	229	108	159	758	16	
9654	112	268	229	108	965	86	16	
9655	112	268	229	18	159	86	624	
9656	17	2	9	5	8	763	21	ST-177 complex
9657	18	100	597	778	964	86	622	
9658	18	100	598	779	138	766	625	
9659	18	22	22	24	935	101	60	
9660	18	22	22	24	961	101	60	
9661	18	22	229	160	134	760	16	
9662	18	22	78	18	960	761	16	
9663	18	662	395	100	962	114	621	
9664	18	662	601	100	899	114	623	
9665	18	696	597	776	138	765	625	
9666	18	699	22	18	133	86	149	
9667	250	22	395	18	134	757	60	
9668	2	61	29	131	11	759	1	
9669	2	61	29	777	11	759	1	
9670	2	61	95	777	11	759	1	
9671	324	6	29	484	40	756	3	
9672	37	61	29	777	74	759	1	
9673	37	698	5	48	22	762	1	
9674	37	75	4	48	967	3	6	
9675	37	75	5	48	11	762	1	
9676	37	75	600	48	141	34	1	ST-661 complex
9677	47	33	584	104	43	109	31	
9678	47	33	596	104	43	109	31	
9679	485	697	375	473	963	116	411	
9680	512	70	22	18	134	74	150	
9681	513	7	10	4	1	7	1	ST-45 complex
9682	514	2	8	5	8	2	4	ST-177 complex
9683	64	700	22	104	43	109	31	
9684	9	75	5	48	637	762	1	
9685	511	7	10	4	42	51	1	ST-283 complex
9686	2	1	1	3	140	754	5	ST-21 complex
9687	7	2	5	2	89	59	6	ST-353 complex
9688	9	17	5	2	86	3	1	ST-353 complex
9689	8	15	57	610	550	3	35	
9690	8	2	2	212	23	253	147	
9691	37	61	29	64	74	738	23	ST-1034 complex
9692	8	17	5	28	10	59	23	
9693	103	110	30	140	188	770	79	ST-1150 complex
9694	521	66	103	82	189	47	17	
9695	33	176	2	82	104	3	17	ST-828 complex
9696	33	181	30	82	113	43	17	ST-828 complex
9697	33	39	30	82	113	43	406	ST-828 complex
9698	7	39	30	79	112	3	17	
9699	7	32	2	15	23	3	12	ST-443 complex
9700	522	17	5	2	10	59	6	ST-353 complex
9701	210	701	602	227	614	767	363	
9702	121	702	603	780	212	458	173	
9703	515	38	30	82	104	43	17	ST-828 complex
9704	33	39	30	79	104	768	17	ST-828 complex
9705	138	68	575	752	970	208	161	
9706	33	38	30	82	969	43	17	ST-828 complex
9707	517	633	233	782	971	208	192	
9708	86	86	88	198	968	129	76	
9709	130	703	87	124	160	129	73	
9710	24	526	604	2	10	3	1	ST-464 complex
9711	33	38	541	82	104	117	17	ST-828 complex
9712	2	2	2	10	977	59	5	
9713	37	61	292	470	978	25	630	
9714	2	17	2	3	2	1	223	ST-21 complex
9715	22	146	57	64	74	25	23	ST-1034 complex
9716	18	22	77	230	134	101	16	ST-952 complex
9717	2	61	4	64	127	20	23	ST-1034 complex
9718	8	2	5	53	980	3	1	ST-607 complex
9720	8	2	292	212	351	29	57	
9721	22	172	80	388	470	772	533	
9722	22	364	80	388	470	772	533	
9723	1	3	6	4	3	733	3	ST-22 complex
9724	37	61	4	64	141	3	61	
9725	24	526	1	2	10	3	1	ST-464 complex
9726	8	2	2	785	153	3	147	
9727	166	2	2	10	11	3	1	ST-574 complex
9728	7	30	2	2	74	59	6	ST-460 complex
9729	14	21	2	10	350	3	6	ST-52 complex
9730	7	2	2	2	188	3	1	ST-464 complex
9731	37	114	292	26	351	25	541	
9732	47	22	22	98	138	320	47	
9733	7	17	2	2	10	3	1	ST-353 complex
9734	4	27	59	19	10	5	7	ST-403 complex
9735	1	2	2	2	11	5	5	
9736	7	2	5	10	10	408	1	
9737	33	39	30	82	11	3	17	ST-828 complex
9738	24	2	2	10	10	59	5	ST-464 complex
9739	7	110	30	140	188	3	325	
9740	33	39	134	79	118	43	17	ST-828 complex
9741	33	39	30	79	540	43	17	ST-828 complex
9742	33	39	30	82	570	35	17	ST-828 complex
9743	33	42	30	82	104	47	17	ST-828 complex
9744	32	39	30	82	764	214	17	ST-828 complex
9745	33	39	30	82	210	43	17	ST-828 complex
9746	64	19	203	100	144	101	16	
9747	99	706	99	128	182	773	113	
9748	1	2	2	2	89	5	6	ST-460 complex
9749	24	2	5	10	309	253	147	
9750	64	22	20	100	134	187	60	
9751	33	707	30	79	104	206	17	ST-828 complex
9752	8	17	4	786	11	48	147	
9753	2	10	5	2	2	1	5	ST-206 complex
9754	2	4	5	719	2	1	5	ST-206 complex
9755	7	708	52	2	11	1	386	
9756	76	22	20	97	134	101	16	
9757	8	2	5	53	1	3	1	ST-607 complex
9758	130	189	86	259	287	244	76	
9759	72	188	69	113	143	128	67	
9760	1	2	42	4	5	58	3	ST-42 complex
9761	9	2	2	10	983	253	147	
9762	7	2	2	15	982	3	12	ST-443 complex
9763	1	2	2	2	11	5	6	ST-354 complex
9764	33	39	30	788	113	43	68	ST-828 complex
9765	7	53	2	790	11	3	3	ST-574 complex
9766	9	716	2	10	22	3	6	ST-52 complex
9767	4	338	307	3	1	7	1	ST-45 complex
9768	4	338	16	3	1	12	1	
9769	24	2	12	2	11	12	1	ST-464 complex
9770	24	247	12	2	2	3	1	ST-464 complex
9771	24	10	12	2	2	3	1	ST-464 complex
9772	2	1	1	3	119	3	1	ST-21 complex
9773	2	17	2	3	119	3	1	
9774	2	1	2	787	119	3	5	
9775	2	1	1	787	119	3	5	ST-21 complex
9776	8	1	2	3	2	59	5	ST-21 complex
9777	2	17	1	3	119	1	1	ST-21 complex
9778	8	10	12	2	11	12	6	ST-354 complex
9779	8	17	2	10	10	12	6	ST-354 complex
9780	77	338	2	3	89	59	6	ST-460 complex
9781	2	338	2	2	89	59	6	ST-460 complex
9782	24	1	5	84	11	11	6	ST-49 complex
9783	24	7	2	1	981	7	1	
9784	4	1	2	3	11	774	1	
9785	7	2	2	2	23	3	1	ST-464 complex
9786	2	258	12	10	1	7	1	
9787	24	17	288	72	22	405	6	
9788	37	52	57	26	2	3	631	ST-692 complex
9789	523	709	605	789	984	744	633	
9790	121	710	606	789	985	744	94	
9791	121	397	605	791	986	208	580	
9792	121	397	608	792	987	576	634	
9793	523	91	550	220	707	673	173	
9794	130	86	87	794	746	129	465	
9795	130	712	609	612	989	280	636	
9796	121	433	610	795	707	673	637	
9797	121	692	606	796	990	208	638	
9798	523	215	500	782	1001	776	324	
9799	130	86	408	612	471	777	465	
9800	121	713	204	797	992	208	639	
9801	81	104	69	113	143	778	640	
9802	130	535	458	271	989	129	641	
9803	429	116	612	691	994	779	465	
9804	523	714	608	798	556	776	324	
9805	136	104	69	113	143	277	640	
9806	429	715	520	612	994	129	465	
9807	528	116	520	799	996	129	532	
9808	121	711	614	800	997	776	643	
9809	429	717	520	221	471	129	532	
9810	529	718	520	691	628	129	76	
9811	81	116	520	221	870	129	465	
9812	429	116	458	612	998	129	532	
9813	429	344	615	271	870	280	532	
9814	121	719	608	792	987	576	634	
9815	121	691	575	434	1001	744	638	
9816	454	720	401	205	1002	650	646	
9817	1	6	5	176	1003	293	3	
9818	531	2	34	803	1004	293	3	
9819	10	45	617	803	1005	293	647	
9820	1	6	5	92	261	7	3	
9821	18	2	618	805	1	775	16	
9822	2	1	21	3	4	1	5	ST-21 complex
9823	8	17	5	2	11	3	1	ST-607 complex
9824	525	711	204	793	988	744	635	
9825	227	297	253	338	424	750	250	
9826	227	297	253	802	424	337	250	
9827	227	632	253	541	424	337	250	
9828	227	721	253	338	424	337	250	
9829	227	297	253	806	424	337	250	
9830	2	1	21	3	2	780	5	ST-21 complex
9831	7	4	5	801	11	58	6	
9832	81	39	147	113	404	782	160	
9833	86	598	607	245	581	209	76	
9834	15	423	78	18	999	86	188	
9835	2	110	30	82	188	164	79	
9836	22	1	4	26	363	3	35	
9837	33	176	30	82	189	47	17	ST-828 complex
9838	33	176	30	79	189	43	17	ST-828 complex
9839	32	39	30	82	113	35	36	
9840	33	39	30	82	113	35	263	ST-828 complex
9841	33	38	134	161	104	35	17	
9842	103	110	30	82	308	164	79	
9843	296	34	27	807	995	781	642	
9844	32	15	57	64	153	58	35	
9845	7	172	21	49	936	9	31	
9846	27	33	22	49	116	10	47	ST-1275 complex
9847	10	33	22	49	115	82	31	ST-1275 complex
9848	18	70	164	97	116	86	47	
9849	258	174	207	193	43	381	284	
9850	64	22	78	98	116	86	16	ST-952 complex
9851	10	8	34	6	39	7	31	
9852	10	31	22	49	43	82	31	ST-1275 complex
9853	1	172	269	62	116	377	147	
9854	10	8	22	6	39	20	3	
9855	27	33	22	49	1007	9	31	ST-1275 complex
9856	10	33	22	49	1008	82	31	ST-1275 complex
9857	530	2	2	2	10	3	1	ST-464 complex
9858	526	722	611	808	1000	783	644	
9859	526	722	611	808	1006	783	644	
9860	526	722	611	808	1000	784	644	
9861	527	722	611	808	1006	783	644	
9862	2	21	1	3	2	100	5	ST-21 complex
9863	58	39	30	174	113	35	17	
9864	423	33	22	49	43	20	31	ST-1275 complex
9865	420	7	10	4	1	7	1	ST-45 complex
9866	532	1	12	3	2	1	5	ST-21 complex
9867	33	491	30	82	113	43	17	ST-828 complex
9868	2	4	1	4	19	785	5	ST-48 complex
9869	18	22	613	104	25	160	60	
9870	145	88	616	809	1009	646	645	
9871	9	10	5	10	22	3	648	ST-52 complex
9872	9	2	4	810	4	5	6	ST-257 complex
9873	2	1	52	3	11	100	5	ST-21 complex
9874	2	53	5	10	11	3	3	ST-574 complex
9875	37	2	5	64	332	668	1	
9876	8	2	2	10	86	3	147	
9877	9	17	5	10	74	3	3	
9878	37	61	4	64	982	7	6	
9879	33	2	30	82	104	3	17	ST-828 complex
9880	33	39	30	79	1010	206	17	ST-828 complex
9881	33	176	30	79	189	43	325	
9882	8	17	5	2	10	59	380	ST-353 complex
9883	33	39	30	79	1011	43	41	ST-828 complex
9884	64	33	22	100	122	788	16	
9885	1	3	6	4	3	789	3	ST-22 complex
9886	4	7	621	4	42	25	1	ST-45 complex
9887	8	17	622	2	10	59	6	ST-353 complex
9888	24	2	623	2	10	289	1	ST-464 complex
9889	1	4	2	2	6	1	649	ST-61 complex
9890	33	39	30	79	113	47	650	
9891	123	433	366	813	1012	790	651	
9892	7	112	5	2	1013	1	26	
9893	1	2	3	4	5	791	3	ST-42 complex
9894	535	4	1	2	11	792	26	
9895	262	725	2	379	89	12	6	
9896	33	39	30	79	189	56	17	ST-828 complex
9897	2	21	12	62	11	67	6	
9898	2	17	5	2	10	25	6	ST-353 complex
9899	9	21	2	814	153	253	147	
9900	22	28	4	762	363	99	35	
9901	2	1	6	3	1014	1	5	ST-21 complex
9902	22	490	52	26	23	24	412	
9903	10	27	16	19	23	5	7	ST-403 complex
9904	91	1	5	10	11	11	6	ST-49 complex
9905	91	1	5	10	86	11	6	ST-49 complex
9906	18	33	22	18	979	771	47	
9907	464	22	22	18	935	101	60	
9908	4	7	10	4	42	794	1	ST-45 complex
9909	121	726	588	507	990	208	652	
9910	121	726	588	789	990	208	652	
9911	121	727	606	768	556	795	652	
9912	524	397	330	816	992	208	324	
9913	121	104	407	434	556	482	94	
9914	523	104	159	215	820	245	367	
9915	33	39	30	82	104	801	17	ST-828 complex
9916	121	104	624	218	828	793	94	
9917	121	104	625	789	1015	795	324	
9918	335	215	195	815	1024	707	653	
9919	121	104	588	789	990	208	654	
9920	536	104	69	691	143	796	67	
9921	121	104	626	817	317	797	94	
9922	121	104	575	789	992	208	94	
9923	523	104	588	793	987	482	324	
9924	33	176	30	115	373	43	17	ST-828 complex
9925	60	78	42	4	11	12	8	
9926	335	104	627	695	987	482	655	
9927	81	104	69	113	143	43	367	
9928	81	104	69	113	143	43	152	
9929	37	17	4	470	127	407	23	
9930	8	52	57	26	129	29	23	ST-692 complex
9931	128	104	199	818	1016	799	656	
9932	147	104	331	816	1017	208	638	
9933	130	104	520	612	1018	779	465	
9934	81	104	628	113	143	43	67	
9935	136	104	69	113	1019	246	152	
9936	429	104	520	819	1020	280	76	
9937	217	104	629	434	1015	658	657	
9938	121	104	630	789	1021	482	658	
9939	128	104	547	347	1022	658	580	
9940	121	104	629	820	987	646	94	
9941	121	104	451	659	1023	208	485	
9942	8	10	2	2	127	12	6	ST-354 complex
9943	7	2	5	10	13	408	1	
9944	33	39	65	82	113	35	17	ST-828 complex
9945	24	30	2	2	90	3	6	ST-460 complex
9946	516	177	620	781	972	372	627	
9947	33	38	30	82	563	85	17	ST-828 complex
9948	9	731	5	10	11	3	3	ST-574 complex
9949	2	1	4	28	470	25	58	ST-1332 complex
9950	2	1	52	3	74	100	5	ST-21 complex
9951	1	2	10	62	4	5	6	ST-257 complex
