ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA
5801	294	28	31	151	22	29	533	
5802	33	26	30	460	714	87	28	
5803	376	288	219	424	523	337	987	
5804	33	26	202	282	297	87	28	
5805	10	71	46	14	76	872	22	
5807	81	69	36	1185	68	12	17	
5808	50	10	48	42	40	13	196	
5809	10	19	12	9	5	9	988	
5810	138	41	40	896	936	226	4	
5811	10	7	12	1186	5	9	2	
5812	695	613	10	96	169	9	671	
5813	13	208	49	141	41	6	186	
5814	13	63	25	72	59	874	63	
5815	516	13	401	131	522	2	989	
5817	11	41	55	1188	34	58	4	
5818	14	112	43	123	118	875	120	
5819	101	193	25	125	84	90	886	
5820	863	15	21	358	907	9	503	
5822	105	2	3	12	5	19	991	
5823	11	840	25	13	10	35	4	
5824	208	105	23	1190	38	7	102	
5825	918	2	3	7	6	6	11	
5826	10	14	15	31	25	876	33	
5827	39	357	8	1191	513	877	167	
5828	919	104	25	113	12	83	4	
5833	10	7	12	9	937	9	2	
5834	48	198	96	119	219	119	118	
5836	2	4	789	12	938	38	993	
5837	2	36	3	90	664	531	151	
5838	32	29	33	29	24	30	950	
5839	280	252	27	68	55	878	59	
5840	13	80	119	164	939	15	145	
5841	905	512	40	1193	399	8	101	
5842	2	7	9	1194	5	9	12	
5843	10	841	12	1195	5	9	2	
5844	10	7	12	1196	5	9	2	
5853	10	7	12	1197	5	9	2	
5854	10	7	12	820	5	9	994	
5857	202	833	3	490	39	7	153	
5858	5	410	406	72	36	389	401	
5859	127	133	111	159	76	74	124	
5861	138	90	111	33	192	100	503	
5862	339	117	119	72	44	389	153	
5863	921	224	16	1037	40	60	4	
5864	22	11	807	21	10	23	23	
5865	13	12	17	16	13	16	995	
5866	5	428	717	96	5	151	22	
5867	72	32	40	33	941	79	324	
5868	2	843	23	64	38	19	12	
5869	922	32	40	33	139	79	324	
5870	179	656	730	1199	132	881	162	
5871	5	2	3	1200	6	6	11	
5872	13	127	48	113	456	13	4	
5873	13	11	808	15	12	15	4	
5874	235	25	809	24	942	252	131	
5876	10	19	12	9	5	883	2	
5877	127	844	40	564	39	226	41	
5878	101	4	25	1201	95	6	126	
5879	75	435	15	124	90	12	8	
5880	74	102	54	243	104	9	48	
5881	18	680	108	125	5	19	18	
5882	654	90	8	128	76	305	124	
5883	1	1	1	1202	1	1	5	
5884	5	2	3	7	6	6	996	
5885	209	70	8	243	742	884	997	
5886	101	193	26	163	76	19	101	
5887	39	845	8	349	943	885	998	
5888	119	10	810	42	12	13	4	
5889	56	25	28	24	641	26	79	
5890	56	25	28	24	79	26	131	
5891	161	1	56	316	520	886	999	
5892	319	846	8	1203	179	12	307	
5893	2	2	43	7	193	187	1000	
5894	301	70	67	1115	376	887	172	
5895	5	2	3	7	6	888	11	
5896	209	847	8	132	113	83	161	
5897	75	848	18	110	325	12	8	
5898	13	11	16	15	12	889	4	
5899	82	38	26	1204	115	78	70	
5900	346	4	8	125	84	10	192	
5901	346	614	10	204	5	101	1001	
5902	19	35	811	1161	486	146	172	
5903	11	63	25	346	33	890	1002	
5904	303	410	16	187	157	101	368	
5905	16	2	812	43	36	39	42	
5906	139	35	68	247	530	132	172	
5907	15	4	774	677	14	9	1003	
5908	130	849	25	125	84	9	101	
5910	10	850	3	130	4	128	194	
5911	18	7	47	9	5	526	12	
5912	41	86	79	358	89	109	553	
5913	401	383	813	1096	944	459	409	
5914	83	11	25	625	40	23	4	
5915	71	139	25	565	822	156	1004	
5916	75	836	814	62	36	12	931	
5917	71	851	25	72	945	58	4	
5918	124	436	46	1206	11	14	1	
5919	41	852	43	58	9	12	2	
5920	923	2	98	7	946	19	17	
5921	59	137	40	737	595	8	1005	
5922	302	14	15	7	5	90	2	
5923	924	4	40	43	66	2	425	
5924	6	15	23	7	354	891	17	
5925	395	853	40	1084	947	874	1006	
5926	156	4	78	125	948	19	192	
5928	103	98	384	163	100	473	514	
5929	925	111	40	1207	39	100	95	
5930	39	16	10	1208	8	820	1008	
5931	70	36	130	221	8	6	1009	
5932	356	854	93	77	530	9	172	
5933	110	572	25	776	438	53	192	
5934	111	47	49	42	12	893	3	
5935	2	2	815	14	15	20	12	
5936	13	11	17	16	13	168	4	
5937	35	32	36	33	62	74	3	
5938	5	75	8	96	39	894	97	
5939	41	133	8	128	2	895	863	
5940	13	11	119	526	184	16	1010	
5941	138	90	109	33	858	101	41	
5942	140	855	40	11	140	180	18	
5943	5	2	3	1209	6	6	11	
5944	39	37	8	1210	35	816	481	
5945	926	129	21	46	76	19	34	
5946	61	294	25	183	136	9	126	
5947	167	155	79	200	90	9	161	
5948	14	117	133	192	27	132	126	
5949	7	6	8	8	949	8	13	
5950	11	856	17	1211	13	896	4	
5951	426	63	48	186	36	63	102	
5952	14	857	43	123	118	115	120	
5953	16	16	20	1212	8	12	18	
5954	371	450	8	20	140	308	303	
5955	127	117	289	171	731	226	126	
5956	110	133	40	33	2	100	95	
5957	5	3	10	4	8	53	322	
5958	231	38	422	651	236	216	359	
5959	17	858	22	17	5	21	19	
5960	161	147	348	1213	155	12	142	
5961	161	859	96	178	155	12	142	
5962	161	147	96	178	950	12	142	
5963	161	147	96	178	951	12	142	
5964	10	7	12	820	5	9	1011	
5965	10	14	15	31	25	20	1012	
5966	50	46	49	1214	33	15	4	
5967	5	2	816	7	6	6	11	
5968	927	24	817	24	952	26	27	
5969	11	10	25	1215	10	35	4	
5970	42	46	48	1216	40	35	4	
5971	17	18	22	17	5	897	19	
5972	41	9	21	12	8	37	1013	
5975	13	80	25	413	10	13	63	
5976	10	7	12	9	5	9	1014	
5977	928	153	141	656	40	107	401	
5978	10	860	12	9	5	9	2	
5979	17	18	22	17	620	21	19	
5980	25	77	80	1217	258	85	91	
5981	10	19	12	1218	5	9	2	
5985	479	410	38	574	184	45	499	
5988	930	7	12	9	5	9	2	
5989	10	7	12	9	955	9	2	
5990	931	53	54	60	5	53	54	
5991	932	283	101	12	124	130	17	
5993	2	14	41	67	68	20	33	
5995	14	15	819	252	956	898	1016	
5996	289	26	30	213	283	229	457	
5999	5	14	6	12	957	14	58	
6000	452	26	30	147	21	87	28	
6001	452	26	30	1221	21	87	28	
6002	88	26	30	55	958	87	471	
6003	88	26	30	55	959	87	80	
6004	452	26	30	147	141	87	134	
6005	101	97	78	163	84	10	22	
6006	72	90	40	33	39	226	327	
6007	146	89	8	183	139	149	4	
6008	130	97	820	125	84	9	101	
6009	11	11	48	16	35	15	196	
6010	2	861	25	125	14	9	1017	
6011	127	4	141	33	544	101	95	
6012	795	133	821	683	39	101	4	
6013	412	35	8	247	216	6	194	
6014	14	862	21	12	6	19	15	
6015	18	14	41	12	193	7	33	
6016	10	7	12	9	5	9	1018	
6017	56	25	29	56	48	50	1019	
6018	935	7	21	14	15	12	12	
6019	936	25	28	83	960	252	27	
6020	10	19	12	9	5	9	1020	
6021	60	12	17	870	961	16	4	
6022	937	2	3	7	6	6	11	
6024	10	7	12	9	5	9	1021	
6025	10	863	15	31	25	20	33	
6026	84	11	16	42	40	71	40	
6027	5	21	18	9	6	12	1022	
6028	482	7	12	9	5	9	2	
6029	342	25	29	83	79	26	131	
6030	938	25	29	263	48	178	371	
6031	56	24	29	83	20	899	538	
6032	939	43	45	43	36	39	42	
6033	940	40	17	41	33	36	41	
6034	124	436	46	12	11	14	1	
6035	64	252	27	53	55	67	59	
6036	35	32	36	33	184	33	3	
6037	941	864	269	449	46	184	375	
6041	105	14	41	67	962	20	33	
6042	22	11	25	21	10	900	23	
6043	548	41	55	42	34	58	4	
6044	62	53	54	60	5	901	54	
6046	71	11	25	16	963	19	4	
6047	17	303	82	238	199	10	12	
6048	204	177	590	1037	964	196	4	
6049	41	35	8	78	213	9	67	
6050	106	15	108	17	5	902	314	
6051	10	7	21	12	965	12	12	
6052	319	865	4	130	123	128	1023	
6054	48	128	96	119	116	903	118	
6055	943	130	40	577	304	165	95	
6058	815	421	16	1222	140	904	23	
6059	127	90	40	1223	150	199	95	
6060	302	14	43	127	8	905	12	
6061	944	867	18	98	966	19	19	
6062	83	46	25	13	161	754	63	
6063	118	175	8	115	88	906	84	
6064	3	3	7	4	3	3	36	
6065	14	133	8	33	100	101	95	
6066	13	11	25	72	967	23	23	
6067	10	7	12	9	5	313	2	
6068	2	57	822	14	15	20	12	
6074	18	7	47	567	5	9	506	
6076	62	442	40	1224	88	58	2	
6077	127	117	40	33	372	339	95	
6078	545	869	406	72	44	45	102	
6079	127	287	417	1225	122	157	95	
6080	39	519	40	402	184	765	1026	
6081	19	6	79	1226	417	8	1027	
6082	111	109	823	149	41	13	23	
6086	5	2	3	7	971	6	11	
6087	42	11	824	149	12	13	4	
6088	494	90	825	33	2	33	4	
6089	130	153	298	187	36	389	434	
6090	378	286	30	55	970	87	28	
6091	5	32	36	33	62	79	3	
6092	127	331	583	421	122	101	350	
6093	46	588	3	800	972	2	1	
6094	171	15	15	237	5	90	2	
6095	15	179	40	1227	681	2	102	
6096	417	762	79	106	3	207	2	
6098	48	128	826	119	116	119	118	
6099	17	18	827	17	5	21	19	
6100	84	63	25	413	12	71	4	
6102	124	436	43	915	193	19	103	
6103	2	7	828	9	5	9	12	
6104	127	41	40	96	2	132	323	
6105	10	19	12	9	5	907	2	
6106	945	25	29	83	48	178	246	
6107	15	70	93	78	973	6	68	
6108	10	7	829	9	112	9	2	
6109	52	115	40	227	2	100	196	
6110	43	41	16	13	34	13	1028	
6111	946	870	556	1228	974	908	1029	
6112	179	612	10	122	61	9	156	
6113	132	30	103	134	126	133	1030	
6114	70	180	8	222	90	9	126	
6115	56	25	29	1229	20	26	27	
6116	13	127	92	113	114	107	1031	
6117	41	42	43	58	9	909	2	
6118	5	2	3	857	6	6	1032	
6119	60	12	17	1230	13	16	4	
6120	10	60	58	1231	6	65	16	
6121	40	814	3	1232	8	9	153	
6122	947	585	830	52	192	6	8	
6123	47	871	153	1233	975	9	1033	
6124	145	26	30	282	21	229	28	
6125	46	122	3	1234	6	138	133	
6126	14	117	133	192	27	101	126	
6127	4	110	35	683	39	530	339	
6128	136	90	40	1148	122	226	41	
6129	242	221	81	81	243	84	1034	
6130	126	36	8	96	120	9	158	
6131	795	118	687	128	304	53	865	
6132	43	47	49	49	41	15	1035	
6133	11	41	831	42	34	58	4	
6134	10	69	101	12	370	130	347	
6135	114	872	8	12	915	910	22	
6136	166	4	79	1235	120	526	274	
6137	43	47	832	49	41	15	3	
6139	127	41	40	33	2	132	323	
6140	136	90	40	1033	122	226	41	
6141	17	18	22	1236	5	21	19	
6142	1	1	1	1237	1	1	5	
6143	19	276	10	348	723	132	274	
6144	438	3	10	348	306	394	274	
6145	494	90	111	192	482	132	41	
6146	47	184	833	196	976	58	38	
6147	360	75	79	216	977	185	101	
6148	39	874	8	370	71	12	1036	
6149	438	276	10	370	306	283	1037	
6151	130	410	406	577	978	101	41	
6152	346	4	25	125	438	438	124	
6153	948	875	123	1238	5	9	13	
6154	415	101	134	43	103	9	22	
6155	202	194	8	36	392	8	184	
6156	203	11	17	113	33	107	4	
6157	119	10	17	1239	12	13	4	
6159	20	13	10	38	6	12	96	
6160	5	876	3	7	6	6	11	
6161	1	1	2	1	1	911	5	
6162	10	7	834	14	15	12	12	
6164	13	46	835	49	146	16	4	
6165	76	14	3	77	64	64	1038	
6166	124	37	10	205	6	10	14	
6167	52	3	40	51	44	23	3	
6168	124	88	15	14	8	10	320	
6169	127	4	350	163	76	19	298	
6170	5	2	836	7	6	6	11	
6171	3	3	7	4	3	3	1039	
6172	173	877	8	195	6	8	1040	
6173	41	14	36	1240	2	94	84	
6174	197	73	41	79	71	65	72	
6175	48	112	18	88	225	7	329	
6177	14	7	41	12	36	19	1041	
6178	353	477	219	492	979	912	291	
6179	353	389	295	492	521	295	291	
6180	379	83	25	141	40	322	4	
6181	564	288	219	424	566	492	382	
6182	10	19	12	9	5	913	2	
6183	62	421	8	1222	140	904	23	
6190	84	10	17	42	12	13	4	
6192	127	881	10	125	39	914	151	
6193	289	26	30	212	283	229	457	
6194	2	5	116	88	5	7	1042	
6195	92	75	8	128	980	19	307	
6196	5	2	3	1244	6	6	11	
6197	33	26	30	1245	21	542	134	
6198	14	72	418	12	6	19	15	
6199	2	14	21	172	5	19	17	
6200	39	338	93	429	36	9	48	
6202	5	440	10	196	2	207	452	
6203	10	7	21	14	15	915	12	
6204	18	14	12	1246	5	18	21	
6205	6	7	837	10	2	10	14	
6206	303	117	111	96	899	100	863	
6207	50	80	25	85	40	916	4	
6208	951	90	111	33	122	143	95	
6209	173	276	8	33	76	161	275	
6210	14	75	3	516	6	12	671	
6212	952	588	3	800	517	2	1	
6213	101	97	25	125	76	19	101	
6214	11	10	25	13	981	35	4	
6215	10	7	838	9	5	9	2	
6216	56	25	357	1247	237	26	340	
6217	33	26	705	26	511	32	28	
6218	10	7	12	9	5	917	2	
6219	101	193	8	163	84	90	192	
6221	39	86	108	204	76	42	86	
6222	954	4	694	1248	76	90	101	
6223	955	410	406	72	36	389	126	
6224	127	844	111	564	39	226	41	
6225	10	7	21	14	982	12	12	
6226	136	90	133	279	561	226	41	
6227	14	73	41	12	983	6	8	
6230	39	4	3	163	179	146	86	
6231	438	178	8	1250	120	919	339	
6232	10	7	839	9	5	9	2	
6233	111	107	8	49	12	13	304	
6234	18	69	43	14	193	552	217	
6235	19	111	8	188	95	6	1009	
6236	2	111	10	1251	8	172	893	
6237	371	435	8	196	984	437	446	
6238	144	14	46	62	76	2	281	
6239	124	15	15	88	36	65	12	
6240	61	63	48	186	36	75	426	
6241	5	182	7	196	120	9	709	
6242	956	182	8	224	168	9	185	
6243	19	102	79	156	138	151	101	
6244	112	14	46	1252	8	7	14	
6245	10	10	40	403	90	12	12	
6246	14	883	8	163	572	3	1044	
6247	19	884	3	20	5	22	22	
6248	360	75	79	216	977	186	101	
6249	905	444	40	1253	179	9	182	
6250	149	183	10	128	39	53	153	
6251	497	2	3	38	5	5	10	
6252	302	440	3	208	161	394	163	
6253	19	20	3	1254	5	22	22	
6254	198	148	142	232	1	2	181	
6255	11	109	17	21	161	13	1045	
6256	198	148	142	232	1	2	1046	
6257	13	80	119	164	12	920	145	
6258	45	37	40	188	39	517	176	
6259	41	42	43	58	9	12	1047	
6260	250	194	8	36	29	8	36	
6261	11	41	55	42	985	58	4	
6262	121	454	8	116	119	180	336	
6263	138	90	111	279	192	100	464	
6264	13	12	17	16	986	16	4	
6265	22	11	840	21	10	23	23	
6266	41	885	43	58	9	12	2	
6267	48	128	96	119	116	119	1048	
6268	14	15	10	381	16	10	14	
6269	22	11	25	1255	10	23	23	
6270	41	42	841	58	9	12	2	
6271	11	856	17	1211	13	23	4	
6272	16	2	45	1256	36	39	42	
6273	41	84	10	220	2	146	1049	
6274	13	12	17	16	13	16	1050	
6275	220	221	163	92	92	921	76	
6276	25	511	80	257	294	211	577	
6277	385	221	842	81	221	246	412	
6278	97	221	81	272	85	84	76	
6279	242	211	81	81	221	378	226	
6280	957	129	81	81	243	84	226	
6281	127	90	40	94	39	79	4	
6282	25	77	27	22	18	257	567	
6283	711	91	10	1114	192	922	1033	
6284	253	22	197	1257	85	67	222	
6285	103	413	250	425	2	9	141	
6286	145	378	30	213	21	87	134	
6287	561	4	843	196	27	923	194	
6288	335	77	27	1258	18	67	25	
6289	494	177	25	129	94	100	94	
6290	127	90	36	33	2	101	327	
6291	958	77	171	1259	250	231	228	
6292	260	245	80	1260	55	184	490	
6293	385	221	72	281	55	204	227	
6294	323	35	447	374	63	9	234	
6295	33	26	30	282	21	87	134	
6296	385	221	842	81	400	246	412	
6297	959	886	80	1261	85	924	1051	
6298	180	169	25	42	409	71	4	
6300	111	109	17	149	987	58	23	
6301	231	38	422	651	988	340	209	
6302	302	887	78	46	30	925	12	
6303	273	77	844	22	85	249	25	
6304	378	286	30	84	21	87	28	
6305	117	162	21	66	989	19	2	
6306	960	888	205	1262	387	926	1052	
6307	961	221	81	272	314	246	198	
6308	207	882	123	8	5	9	388	
6309	312	477	219	275	490	295	291	
6310	30	889	845	1263	22	29	81	
6311	30	28	31	57	22	927	1053	
6312	14	2	9	7	6	928	86	
6313	6	890	40	156	140	9	84	
6314	127	193	133	125	157	157	95	
6315	643	482	846	511	990	360	208	
6316	380	482	276	458	240	360	208	
6317	962	28	76	1264	23	129	81	
6319	380	639	31	1265	240	360	208	
6320	963	891	27	1266	55	67	443	
6321	585	64	753	775	316	828	57	
6322	284	77	27	22	18	643	91	
6323	964	301	242	382	338	874	192	
6324	965	107	10	1267	418	427	855	
6325	30	28	31	611	22	148	30	
6326	10	14	36	1268	15	12	12	
6327	966	639	847	511	240	408	1055	
6328	294	28	31	622	22	29	30	
6329	484	222	78	316	321	9	115	
6330	92	178	8	111	337	7	446	
6331	967	5	21	52	991	78	1056	
6332	144	14	46	62	992	2	281	
6333	127	90	40	33	179	132	863	
6335	112	649	98	932	993	9	770	
6336	127	32	36	926	122	101	95	
6337	138	90	141	33	122	226	863	
6338	39	37	271	1269	994	109	1057	
6339	170	297	10	78	39	313	172	
6340	451	26	848	55	283	929	28	
6341	86	82	849	22	250	85	236	
6342	14	892	23	64	38	19	973	
6343	230	38	422	1270	322	216	209	
6344	968	383	290	1096	415	459	409	
6345	231	38	238	363	236	930	209	
6346	25	77	27	1271	85	231	169	
6347	318	893	81	81	995	233	230	
6348	401	182	433	674	498	459	571	
6349	6	442	850	43	323	931	1058	
6350	2	4	851	1272	996	12	303	
6351	14	626	782	172	997	19	14	
6352	184	24	29	211	129	26	131	
6353	969	25	75	24	998	26	131	
6354	436	735	8	159	999	3	95	
6355	41	894	8	246	622	157	1	
6356	311	160	218	608	588	484	323	
6357	347	426	447	430	8	132	349	
6358	39	191	79	195	2	9	272	
6359	101	4	8	163	84	19	101	
6360	803	77	852	68	1000	85	24	
6361	39	64	25	163	76	628	101	
6362	970	82	853	465	18	204	236	
6363	111	70	98	75	376	6	172	
6364	971	73	224	196	163	9	575	
6365	96	221	163	1273	243	99	377	
6366	972	221	81	272	1001	233	230	
6367	973	4	854	1274	824	560	4	
6368	4	63	141	33	39	33	126	
6369	127	81	435	94	84	90	95	
6370	15	14	855	162	333	10	38	
6371	417	895	10	122	1002	186	22	
6372	84	323	68	1275	392	123	373	
6373	110	177	49	577	567	101	102	
6374	2	86	3	75	1003	46	48	
6375	103	175	8	813	1004	820	1059	
6376	7	896	40	1276	2	932	102	
6377	61	63	25	1277	184	322	4	
6378	39	174	8	108	61	9	739	
6379	101	64	78	125	1005	628	168	
6380	47	175	250	813	2	625	1059	
6381	25	22	77	22	18	24	25	
6382	172	723	10	65	95	9	153	
6383	74	4	3	1278	5	933	172	
6384	5	349	8	1279	312	670	22	
6385	39	897	83	1276	1006	557	1060	
6386	556	3	3	10	36	475	182	
6387	41	898	10	36	2	284	102	
6388	7	182	21	1280	2	934	22	
6389	124	64	35	204	5	97	16	
6390	974	3	3	204	61	119	104	
6391	444	434	40	1281	1007	327	1061	
6392	377	426	68	1282	8	9	1062	
6393	975	112	856	227	89	8	16	
6394	39	4	79	215	165	9	86	
6395	313	16	10	128	643	791	102	
6396	976	899	54	8	8	197	172	
6397	101	4	25	125	438	628	513	
6398	977	90	474	1033	179	777	404	
6399	978	27	30	212	21	87	616	
6400	42	900	8	16	582	935	4	
6401	346	4	857	1119	76	9	22	
6402	979	77	27	214	282	85	1063	
6403	46	115	43	12	5	936	34	
6404	111	14	15	1283	1008	116	33	
6405	14	901	40	12	938	19	18	
6406	70	14	15	20	1008	149	455	
6407	980	26	30	282	21	87	28	
6408	114	2	15	396	1009	616	22	
6409	202	193	54	256	64	9	185	
6410	981	77	27	22	258	85	1064	
6411	111	63	17	16	161	60	4	
6412	39	178	35	204	399	132	16	
6413	33	26	30	340	470	87	80	
6414	37	36	68	1284	2	9	22	
6415	145	902	30	828	283	639	28	
6416	111	903	715	16	40	58	63	
6417	126	419	8	78	8	409	210	
6418	84	169	8	42	41	58	4	
6419	117	644	8	129	38	101	503	
6420	346	81	857	1137	76	9	1065	
6421	18	904	8	207	859	339	1066	
6422	982	109	25	16	1010	71	4	
6423	471	77	27	1285	18	85	91	
6424	65	78	29	82	20	50	79	
6425	983	26	30	55	21	425	80	
6426	296	26	30	144	21	87	28	
6427	346	4	857	1137	76	19	22	
6428	96	905	81	92	995	99	226	
6429	25	82	80	22	280	24	25	
6430	242	906	81	81	995	233	226	
6431	202	4	10	33	90	9	452	
6432	30	28	858	151	22	29	30	
6433	230	546	859	427	236	216	209	
6434	56	25	28	24	237	26	340	
6435	45	203	8	125	120	101	196	
6436	45	4	8	44	1011	9	8	
6437	127	193	25	163	84	22	1067	
6438	426	907	860	1286	140	693	48	
6439	45	4	8	44	1012	9	8	
6440	127	64	25	125	84	90	101	
6441	95	245	27	1287	55	184	375	
6442	984	908	80	1288	1013	937	1068	
6443	242	221	81	272	92	99	258	
6444	5	107	54	1169	138	58	1069	
6445	146	89	8	33	94	149	4	
6446	985	909	707	183	102	9	4	
6447	46	13	8	215	8	90	1070	
6448	72	32	109	1084	2	101	41	
6449	203	133	40	1289	39	79	1071	
6450	986	11	25	675	1014	866	3	
6451	2	2	23	1290	193	7	2	
6452	216	208	49	42	33	772	4	
6453	39	75	250	1291	486	938	38	
6454	72	4	133	192	1015	132	513	
6455	2	356	85	358	907	9	1072	
6456	64	252	80	1292	55	67	49	
6457	75	15	78	1293	1016	65	2	
6458	311	287	218	382	1017	939	323	
6459	14	436	10	64	11	905	17	
6460	319	910	861	735	1018	58	1073	
6461	111	11	119	16	12	23	23	
6462	123	188	22	915	6	19	736	
6463	15	14	86	425	325	9	22	
6464	987	301	40	1294	1017	484	323	
6465	102	15	8	46	140	208	1074	
6466	665	75	428	1295	8	103	22	
6467	172	3	862	1296	1019	97	1075	
6468	117	382	863	162	115	208	1076	
6469	203	133	417	1025	174	100	298	
6470	988	38	657	983	236	930	209	
6471	2	9	43	7	1020	198	361	
6472	25	77	80	22	18	940	25	
6473	102	15	8	105	163	18	103	
6474	124	436	26	1297	1021	941	2	
6476	140	383	864	1298	1023	459	1077	
6478	989	22	186	291	777	24	1078	
6479	242	211	81	81	1024	302	230	
6480	127	4	417	1299	482	942	57	
6481	242	211	278	81	995	233	1079	
6482	230	38	288	632	236	340	345	
6483	213	122	674	1035	1025	201	12	
6484	2	2	3	1300	1026	943	449	
6485	294	28	31	1301	416	29	30	
6486	313	20	46	1302	323	53	530	
6487	2	15	21	1303	182	10	85	
6488	121	137	23	7	140	20	8	
6489	441	75	308	98	321	19	1080	
6490	990	911	277	1304	1027	277	1081	
6491	157	83	25	72	12	944	4	
6492	990	912	865	1305	1028	945	391	
6493	397	36	110	1173	391	946	115	
6494	991	18	255	1306	8	427	2	
6495	86	77	27	22	85	264	169	
6496	25	379	192	305	1029	299	25	
6497	114	42	15	971	199	947	48	
6498	126	18	10	163	908	109	48	
6499	561	913	3	130	529	128	370	
6500	2	2	101	1307	8	948	347	
6501	2	83	17	49	32	22	4	
6502	161	37	133	38	622	157	41	
6503	37	533	10	110	16	146	33	
6504	30	28	31	151	22	29	533	
6505	136	41	133	1308	39	226	41	
6506	25	77	27	22	18	407	169	
6507	71	46	25	49	36	156	147	
6508	417	36	866	122	1030	8	14	
6509	992	18	867	373	8	8	38	
6510	993	914	30	331	252	267	229	
6511	127	117	40	94	329	226	41	
6512	451	26	30	84	21	92	28	
6513	255	233	30	331	252	68	229	
6514	126	36	697	96	8	949	141	
6515	146	90	141	183	941	449	298	
6516	994	98	54	278	1031	9	1082	
6517	13	915	868	1309	438	37	1083	
6519	246	245	27	53	55	950	1084	
6520	62	172	54	919	8	11	1085	
6521	996	193	8	33	8	9	272	
6522	652	4	101	10	2	298	1086	
6523	10	917	21	33	1032	19	418	
6524	213	918	869	100	1033	187	18	
6525	5	230	805	38	622	9	181	
6526	151	245	27	22	1034	85	25	
6527	126	107	35	204	399	74	1009	
6528	147	13	131	9	5	9	307	
6529	92	641	79	510	623	951	388	
6530	41	9	43	172	25	65	14	
6531	997	11	25	164	1035	83	458	
6532	810	70	447	401	1036	35	1087	
6533	351	46	40	405	184	107	449	
6534	230	38	462	632	1037	216	209	
6535	351	18	38	1093	115	348	57	
6536	33	630	159	282	21	87	28	
6537	61	12	49	16	13	23	4	
6538	998	919	870	1311	55	952	1088	
6539	999	38	8	418	8	809	1089	
6540	172	193	133	122	76	109	576	
6541	562	353	27	682	313	184	1090	
6542	37	920	10	1312	14	9	34	
6543	255	921	30	282	1038	87	658	
6544	13	625	25	149	8	289	4	
6545	5	13	10	222	2	953	1091	
6546	2	115	18	1272	8	19	38	
6547	15	922	250	1313	457	475	22	
6548	417	36	123	20	1039	327	576	
6549	61	11	49	16	33	23	4	
6550	92	64	82	204	39	9	1092	
6551	70	86	447	1314	179	785	560	
6552	202	923	871	222	61	180	893	
6553	984	77	80	81	55	950	1093	
6554	242	924	149	1315	778	954	668	
6555	96	221	81	92	78	233	226	
6556	1000	925	872	1316	20	339	503	
6557	96	926	72	81	92	666	76	
6558	2	14	24	1	37	19	8	
6559	295	927	27	292	1040	184	236	
6560	660	222	562	116	214	9	194	
6561	161	1	873	176	1041	955	181	
6562	75	361	436	797	109	300	397	
6563	3	36	874	88	8	6	1094	
6564	220	211	72	281	314	956	1095	
6565	11	10	25	13	10	13	4	
6566	660	4	223	116	892	296	194	
6567	295	928	27	1317	55	184	1096	
6568	921	224	16	74	40	60	4	
6569	561	4	3	1318	4	128	8	
6570	449	929	875	541	1042	957	236	
6571	51	930	110	467	8	9	45	
6572	2	129	876	88	405	6	14	
6573	346	4	8	125	84	19	124	
6574	161	931	877	1319	1043	119	1097	
6575	625	932	878	832	1044	958	1098	
6576	1001	4	10	1083	8	207	462	
6577	1002	278	10	1153	1045	938	151	
6578	1003	11	70	4	2	9	674	
6579	10	14	40	1320	96	102	96	
6580	39	933	8	814	140	959	1099	
6581	445	934	80	1317	46	238	1084	
6582	430	288	879	626	362	492	382	
6583	130	4	17	125	84	6	124	
6584	41	435	36	1321	405	7	58	
6585	124	15	308	14	66	9	1089	
6586	1004	935	18	1322	137	960	1100	
6587	312	288	879	275	362	492	1101	
6588	72	58	8	640	1046	79	622	
6589	106	936	187	449	55	184	266	
6590	527	349	8	436	1047	97	48	
6591	124	20	15	66	66	9	329	
6592	172	75	47	1000	39	317	452	
6593	117	937	131	12	14	12	16	
6594	84	109	17	362	114	168	4	
6595	2	938	78	122	8	9	151	
6596	207	38	273	1184	737	9	388	
6597	165	15	131	1323	111	11	22	
6598	39	81	8	163	84	90	344	
6599	92	14	18	506	1048	386	14	
6600	39	939	25	122	36	9	1102	
6601	1005	77	27	1324	277	264	1103	
6602	191	77	27	22	18	152	169	
6603	152	436	321	1325	6	317	314	
6604	2	940	880	1326	1049	961	1104	
6605	318	211	163	92	243	962	76	
6606	556	80	8	42	1050	16	4	
6607	11	342	8	241	161	284	186	
6608	39	941	79	946	86	46	1105	
6609	556	80	8	42	40	16	4	
6610	50	942	83	1327	448	963	1106	
6611	75	14	18	110	325	2	574	
6612	19	943	78	545	163	19	349	
6613	560	300	25	74	456	156	4	
6614	1006	944	3	38	4	128	1023	
6615	346	90	25	163	84	22	124	
6616	313	945	10	10	156	964	102	
6617	1007	15	40	122	6	427	763	
6618	41	101	79	106	89	965	609	
6619	15	359	152	1328	1051	64	172	
6620	371	642	10	896	8	13	1107	
6621	10	157	23	64	38	19	337	
6622	2	137	12	46	1052	9	1108	
6623	130	4	17	125	84	6	16	
6624	242	221	163	92	92	99	76	
6625	101	576	25	125	122	53	22	
6626	954	3	134	1329	418	7	339	
6627	173	946	130	1330	8	7	530	
6628	173	86	10	1327	5	483	1001	
6629	440	160	881	516	1053	7	452	
6630	173	3	36	1055	89	9	303	
6631	430	288	246	640	63	966	382	
6632	75	113	15	124	90	12	8	
